fuente(F/W/T/Y/I),sentencia,acoso / no acoso
"F,""Linda hembraaaa, me mereces"",acoso"
F,q kuerpito mas lindo tas hermosa flakita,acoso
F,Uuuuuuuuy q delicia. Nnnnnnmmm mamasita te aria locuras,acoso
T,te daria a cada hora,Acoso
T,eres una barbie preciosa,Acoso
T,se ve tan gordo como un balon,Acoso
T,ellas son tijeras se comen juntos,Acoso
T,ella solo uqiere kchr,Acoso
T,ese flow nena me enamore,Acoso
T,aceleras mis latidos reina,Acoso
T,apareces en mis sueños humedos,Acoso
T,eres un niño rata,Acoso
T,cerda piruja,Acoso
T,para que existen los venezolanos solo son rateros,Acoso
T,estos indios que no saben comer lujos,Acoso
T,cholos de m que solo votan por castillo,Acoso
T,burros de siempre no saben crecer,Acoso
T,por esta nena me vuelvo a lo otro,Acoso
T,cada vez me siento menos hetero,Acoso
T,lo bueno de ser bi es que todo agarras,Acoso
T,se busca mejorar la raza no empeorar contigo,Acoso
T,cada vez antojas menos,Acoso
T,se hace dificil respetarte,Acoso
T,esta para rifarlo y empaquetarlo,Acoso
T,son mis ideas o como que se ve que quiere,Acoso
T,le falta operarse mas,Acoso
T,ay se hace la santa pero una webona,Acoso
T,shishona,Acoso
T,que rico lo mueves mamacita,Acoso
T,linda no quieres un amigo,Acoso
"T,""sonrie hermoso bella, te ves bien sexy"",Acoso"
T,te la quiero meter mami,Acoso
F,No te expongas mucho al sol... Te puedes derretir... No como chocolate.... Sino cómo chicle!!!,acoso
"F,""ESA SEÑORA YA PERDIÓ LA DIGNIDAD, QUE DESCARADA,NI POR RESPETO A SU HIJO"",acoso"
F,Que posi así te lo mando todo asta el fondo,acoso
F,que rica que estas para darte de Perrito toda la noche,acoso
F,Aea que buen rabo tenes muchacha,acoso
F,Te quiero chupar las testas,acoso
F,Bb que Rica estas Amor,acoso
F,boca de jarjacha,acoso
"F,""Respira arrogancia está mujercita, que pena"",acoso"
F,Solo fue a dar vergüenza y risa,acoso
F,Muy bonita pero ya le lavaron el cerebro,acoso
F,jajajajajajajajjajaparece una zurikata,acoso
F,jajajajq alas ooooee mokoza,acoso
F,eres bien wapa y sexsi,acoso
F,azu q ricooo,acoso
F,bien me gustaria meterte al pieza,acoso
F,wauu q rica estas...,acoso
F,como me encantaria estar ahi y quitarte todito,acoso
F,cual poema... te quiero reventar todito cosita rica jejeje,acoso
F,te gusta el sexo?,acoso
F,Yo kiciera se esa rocka,acoso
F,Xikita candy stas pw buena uy como me gustarua star x hay,acoso
F,estas hermosa chiquita,acoso
F,Jajaja tan del chiquitingo,acoso
F,Que ricura,acoso
F,Es q no bailas ni cantasssss entiendeeee,acoso
F,Se le hincho la boca ?,acoso
F,Tiene que dejar de ser dama de compañia de narcos,acoso
F,Q no tienen nada q aser las mismas bobadas de siempre,acoso
I,Para cuidarte la piel biien q estas asta arriba de votox,acoso
I,Mamacita!!!,acoso
I,Ahhh dios mio esa colita,acoso
I,Los limonsitos jaja,acoso
I,jajaja besos en la cola,acoso
"I,""ue complejo de niña tiene esta joven, piensa que tiene 8 años lo peor es que sale casi desnuda y todas las intimidades las publica ubicate"",acoso"
I,Tabla,acoso
I,Porque siempre trae cara de drogada,acoso
I,Parece un fenómeno,acoso
I,ridícula!,acoso
I,Por que te gusta subir fotos con ojos que pareces drogada jaja,acoso
I,Y los senos?? Que paso no tienes?,acoso
I,Con ese look mejor operese los pechos,acoso
I,Un desastre y mas sin tetas. Un espantapájaro,acoso
I,Ahora te pareces a la chimoltrufia de Chespirito.,acoso
I,Parece fumada jjjjjj nose xq le gusta posar así jjjjj,acoso
I,Espantosa,acoso
I,Porque ella siempre tiene que hacer ese gesto de cara de culo?,acoso
I,eres paja segura bebecita...uffff,acoso
I,Si tuvieras tetas seguro te rompía el orto,acoso
I,Que rica te miras ermosa,acoso
I,Tu boca y tú lengua me encantas mmmhotttt,acoso
I,K ricaaaaa,acoso
Y,Que clase de mujer es Fanny Lu. Que bizcocha,acoso
I,Hermosa colita,acoso
I,Que rico culo. Tienes unas ganas de meterte pinga,acoso
I,Siempre quiero meterme un pajazo con tus fotos,acoso
I,Deliciosa,acoso
I,que rico monumento 🔥,acoso
I,Riquísima,acoso
I,Sumare que ganas de hacer el salto del tigre,acoso
I,Putaza,acoso
I,Uffff que mujer por dios OmG,acoso
I,Que riko 🔥🔥cara y sello,acoso
I,hermosura de nalgas,acoso
I,uuyy mucho culazo preciosa,acoso
I,Un tamalon sin envoltura,acoso
Y,Son unas perrisss...me encanta el dueto,acoso
Y,Dandole duro a este,acoso
Y,Pobres morros básicos la conocen apenas,acoso
Y,Shakira me recuerda que aún sin chichis puedo triunfar,acoso
"Y,""Esta morra canta pop,mariachi y banda y con todas se escucha con madre"",acoso"
Y,Otra que estuvo sonriendo como estúpida a la pantalla,acoso
Y,FUJIMORI ES CASI HOMICIDA ,acoso
Y,Esa tía no tiene  nombre  ..... la madre  es todo  tmr,acoso
Y,fujimori es una total corrupta,acoso
Y,Está izquierdista nunca va dejar su rencor,acoso
"Y,""Que hermosa es kyara,tiene unos ojasos hermosos"",acoso"
Y,Hay que ser bien gallinas y cobardes para insultar a una niña,acoso
Y,Cuidado vienen los castillolovers a decir que le dieron su taper al gato,acoso
"Y,""QUE BUEN CRUCE DE RAZAS, HAN SALIDO UNAS NENAS, UNICA"",acoso"
Y,DONDE ESTAN LAS FEMINISTAS COMUNISTAS,acoso
Y,estaba entrevistando a otra bataclana como ella,acoso
Y,cualquier farandulera que busca llamar la atención,acoso
Y,tratandose de tula es muy chupemedias,acoso
Y,TODOS UNIDOS BOTEMOS A TODOS ESTOS LOBOS  COMUNISTAS  QUE QUIEREN EL PODER ,acoso
Y,tienes que lamerle el pelo del sikiii esa es más criminal,acoso
Y, sera tan ignorante haciendo ese.tipo d.preguntas,acoso
"Y,""esta' mujer es insensata, necia p"",acoso"
Y,Es que la señito k se volvió farandulera. Está desesperada,acoso
Y,Que malcriada y simplonA,acoso
Y,Canal basura es america TV,acoso
Y, para eso la tienen a la calabaza,acoso
Y, Amor al chancho con ese tio,acoso
Y,Q asco de pregunta  ordinaria  como siempre,acoso
Y,No mendigues ni un puto sol para tu hijo,acoso
"Y,"" ese tipejo, tenga dignidad mujer"",acoso"
F,Bravo campeón,no acoso
F,Se esta escapando sabe que recibió dinero ,no acoso
F,Cuidado con las gringas,no acoso
F,Adiós que te vaya bien aquí te espero en usa,no acoso
F,Al menos una buena noticia,no acoso
F,Jenna yo siempre te he amado ,no acoso
F,Mis favoritos saludos no me canso de verla cuando hay oportunidad,no acoso
F,Se ven lindos igual,no acoso
F,Mi película favorita !!,no acoso
F,Donde estas esos fujiratas llorones ...,acoso
"F,""No tienen al reves para importar, ya no importa nuestro nuevo emperador no nos dejara hacer nada."",no acoso"
F,Las perrito (a) encontraran una familia donde les den amor,no acoso
F,Dios te bendiga por este acto de amor. Hay gente mala,no acoso
F,Tan lindos va encontrar alguien k realmente los ame,no acoso
F,Yo deseo adoptar ,no acoso
"F,""Por favor comenten si ya las adoptaron , yo las quiero"",no acoso"
F,Yo buscando un Perrito y la gente desaciéndose de los autos de esta manera tan cruel,no acoso
F,Las quiero a las 2 por favor,no acoso
F,Pobres pequeñas,no acoso
F,Como. Puedeb. Tener. Ese corazon. Y abandonarlos.,no acoso
F,Dios bendiga a todo aquel que hace el cambio.,no acoso
F,Orgulloso de mi querida alma mater ,no acoso
F,Ya se siente el cambio.,no acoso
F,Grande Lapadula! Muy humilde y empeñoso! ,no acoso
F,1000 de humildad de Lapadula,no acoso
F,Primera vez vamos haber si hay suerte :'),no acoso
F,Todo trabajo exige respeto,no acoso
F,Jajaja bebé nuevo en tu vida xD,no acoso
"F,""Es lamemtable,tengan cuidado"",no acoso"
F,Convalidados por SUNEDU!?,no acoso
F,Pobres pequeñas,no acoso
"F,""Por favor comenten si ya las adoptaron , yo las quiero"",no acoso"
F,Hermosa,no acoso
F,Preciosa,no acoso
F,Mi Princesa hermosa genia te amo,no acoso
F,Linda Amiga!!!! Cuidate!!!,no acoso
F,Hermosa . Muchas bendiciones. Saludos ala distancia.,no acoso
F,Guapa,no acoso
F,Muy linda bendiciones,no acoso
F,Bellísima,no acoso
F,Q hermosa mi sobrina,no acoso
F,Hermosa foto muchos saludos,no acoso
"F,""Estas hermosa promoción, saludos a la distancia."",no acoso"
F,Que regia,no acoso
F,transmites mucha paz y ternura. Bien amiguita,no acoso
F,Queridas amigas que lindo debemos juntarnos pronto,no acoso
F,Guapas como siempre,no acoso
"F,""Saludos cordiales a todos, los años no pasan por ustedes"",no acoso"
F,Belleza de mujeres.,no acoso
F,Amiguita preciosa a divertirse mucho,no acoso
F,Las tres bellassss!!,no acoso
"F,""Lindasss,la mami y las nenas, abracitos"",no acoso"
F,Churra Elita,no acoso
F,Elita siempre es un gusto verte,no acoso
F,Siempre tan linda,no acoso
F,Lisita orgullosos y felices con tus logros,no acoso
F,Excelente persona y profesiona,no acoso
F,Felicitaciones todo lo mejor para ti,no acoso
F,Bella familia amiga saludos a la distancia,no acoso
"F,""Inteligente y linda, combinación perfecta, éxitos, un abrazo"",no acoso"
F,Amiguita bella,no acoso
F,Qué bonito y acogedor se ve,no acoso
F,se te ve radiante!!!! Te mando un abrazote!!!!!,no acoso
F,Que sigan los triunfos,no acoso
F,Bendiciones mi niñita éxitos por siempre te queremos mucho pásalo lindo,no acoso
F,Muy orgullosos de ti:,no acoso
F,merecido reconocimiento a tu empeño,no acoso
"F,""cuanta alegria y nostalgia, que bonita!"",no acoso"
F,Lo máximo Liz!!! Siempre adelante!!,no acoso
F,que sigan los éxitos!!,no acoso
"F,""Mujer creadora de cambio, guerrera, servicial, inteligente y hermosa!"",no acoso"
F,Divina como siempre...Brillando con luz propia!!!,no acoso
F,a seguir conquistando el mundo!!,no acoso
F,sigue cosechando los éxitos!!,no acoso
"F,""otalmente realizada como profesional, como mujer y como madre un abrazo muy fuerte"",no acoso"
"F,""Eres una gran mujer y ejemplo,"",no acoso"
F,Mi dulce y bella Ale,no acoso
F,TU ROSTRO IRRADIA TANTA DULZURA,no acoso
F,Liz tas bien bonita como siempre,no acoso
"F,""No solamente bellisima, siempre con una sonrisa algelical."",no acoso"
F,linda por dentro y por fuera.,no acoso
F,Ella es eternamente joven,no acoso
F,Mi crush de la infancia,no acoso
F,TREMENDA BELLEZA,no acoso
F,owwww me encanta la foto,no acoso
F,QUE GUAPAS ESTÁN CHICAS,no acoso
F,Amiguis te ves tierna.,no acoso
F,ohhh que lindas amigas,no acoso
F,super modelos,no acoso
F,todaa una diosaa,no acoso
I,Como siempre divina😍😍,no acoso
I,Muy linda canción ❤️🤩,no acoso
I,preciosos !!!,no acoso
I,no me digas eso mi amor por favor,no acoso
I,Belleza,no acoso
I,Te vez preciosa😍,no acoso
I,BELLA,no acoso
"I,""Te vas a casar ,Ángela hermosa"",no acoso"
I,Perfecta,no acoso
I,Lista para nuestra boda,no acoso
I,Me caso,no acoso
I,La más bonita 😍,no acoso
I,OMG QUE CHULA,no acoso
I,Tévez maravillosa eres una princesa 😊😊,no acoso
"I,""Eres hermosa, una princesa"",no acoso"
I,La vida de mis ojos,no acoso
"I,""Eres la mejor en el género, te adoro"",no acoso"
I,Gracias por la invitación 👏,no acoso
I,bellezaaaa,no acoso
I,Te amamos mucho 🤍🖇️,no acoso
I,Me dieron ganas de casarme,no acoso
"I,""Bellísima ❤️❤️❤️ no dejes de ser humilde y carismática, bendiciones"",no acoso"
I,No hay mujer más hermosa que tú,no acoso
I,o tengo un amorcito que lo quiero más que a mi vida,no acoso
I,Mi niña mimada🙌🏻,no acoso
I,Por ella me muero y sabe bien qué es mi consentida 😻,no acoso
I,Siempre luciendo tan hermosa,no acoso
I,Que guapa señorita éxito en todo,no acoso
"I,""a lo se, yo igual te quiero más que a mi vida 💛"",no acoso"
I,Hayyy viene mi piquito de oro..,no acoso
I,Y a ella le digo que es mi consentida,no acoso
I,Es como una rosa hermosa,no acoso
I,Cómo no tomar tu mano,no acoso
I,Mi inspiración a seguir mi sueño,no acoso
I,Bien bonita como siempre,no acoso
I,Por ti existo.,no acoso
I,Wow que linda te queda perfecto,no acoso
I,¡Espectacular! 👏👏,no acoso
I,ME ENAMORÉ DE TU OUTFIT,no acoso
I,LO QUE AMAMOS VERTE EN LA SILLA DE DIRECTORA,no acoso
I,Que Reina te ves👑🎶😍,no acoso
I,Los extraño másssss!!! 🥺 tan hermosos 💚 lo que los amo,no acoso
F,Esos ojos sarcasticos ... en q pensaran ...!!!,no acoso
F,Se te ve bien prima cargando jijijijij,no acoso
F,Ohhhh hermosa. .! Saludos promoción,no acoso
F,A nosotras nos confunde si estás bien o mal,no acoso
F,Seguro te vas al campo cuando llegas tarde a clases!,no acoso
"F,""ohhh q guapa, creo q te pareces ami jajajajaa"",no acoso"
F,Paseando nomas no?,no acoso
F,Que bonito paisaje,no acoso
F,yo tambien me voy,no acoso
F,promo como olvidar esa tierra,no acoso
"F,""Qué bonita foto, muy feliz de conocerlas chicas"",no acoso"
F,Muy lindo encuentro!!!,no acoso
F,Jajaja ya ta grande esa bb,no acoso
F,Esa nenita bonita,no acoso
F,Oww como las quiero loquitas preciosas,no acoso
F,guapas todas!!!! tambien las quiero mucho!! chicas!!!!!!!!!!,no acoso
F,recordar es volver a vivir,no acoso
F,Uffff divina!!,no acoso
"F,""mi princesa estas mas hermosa q nunca bella , hermosa tierna amoroza preciosa , te amo"",no acoso"
F,Bella dama,no acoso
F,Que belleza de mujer radiante,no acoso
F,Amor a primera vista,no acoso
F,Hermosa bellísima encantadora,no acoso
F,Linda reinita,no acoso
F,Hermosa cariño,no acoso
"I,""Hola cariño espero que tengas un excelente lunes y una maravillosa semana, que todo vaya bien, besos"",no acoso"
I,😍Mujer bella😍,no acoso
I,Cautivas con tu belleza y tu linda mirada rubia preciosa,no acoso
I,La mujer más hermosa y maravillosa,no acoso
"I,""preciosa y hermosa del mundo,eres unica"",no acoso"
"I,""amor que tengas un esplendoroso sabado, que todo vaya bien besito"",no acoso"
"I,""A ti te rodea un aura muy especial, no es sólo por tu belleza, sino por tu alma y humildad"",no acoso"
I,Estas mas preciosa en cada foto eres unica y la chica mas bella,no acoso
I,siempre tan radiante😍buen fin de semana,no acoso
I,Las cosas son bellas si se las ama,no acoso
I,Que foto linda 😍😍,no acoso
I,los eres todo mi reina,no acoso
I,te extrañoo muchoamo verte así de feliz,no acoso
I,MERECES TANTO AMOR,no acoso
I,Eres arteeeee,no acoso
I,POR QUÉ TODO TE QUEDA BIEN,no acoso
I,Mi chiquita lindaaa,no acoso
I,Bb hermosa,no acoso
I,La mujer más linda del mundo,no acoso
I,Se puede ser tan perfecta?,no acoso
I,Ayyyy nueva música para bailar todo el día,no acoso
I,Mas música !!!!!!!😍,no acoso
I,No puede ser que todo lo que se ponga le queda bieeen 😍😍,no acoso
"I,""Una historia, una canción."",no acoso"
I,Y un beso en madrid,no acoso
I,Me encantó la estética. De donde es el vestido? Gracias.,no acoso
I,Que bueno me alegra mucho es hora de ser libres🙌❤️,no acoso
I,Que bello té quedó nuestro enterizo,no acoso
"I,""Bellas y cuanta Elegancia, a si mismo pa"""" alante Querida. Dios las Bendiga"",no acoso"
I,Te admiro mucho!! transmite tranquilidad y mucho positivismo adelante con todos tus proyectos allí tienes tú mayor motor que es tu preciosa niña,no acoso
I,Disfruta siempre los mejores momentos,no acoso
I,Caramba de verdad que logro tan hermoso.,no acoso
I,Te deseo lo mejor del mundo eres un ejemplo a seguir guerrera,no acoso
I,Me encanta tu nueva versión,no acoso
"I,""Agradecida, enfocada y motivada…"",no acoso"
I,Espectacular mi Ada!!!,no acoso
I,Bella! Delgada o no delgada eres preciosa como quiera,no acoso
I,Tu belleza siempre ha estado mas alla de la tallas.,no acoso
Y,Eres una gran artista,no acoso
Y, Esa picardía en sus ademanes,no acoso
Y,Me encanta esta Canción,no acoso
Y, muy buena interpretación 👏👏👍,no acoso
Y,Me iría sin pensarlo con mi gran compañero hermano @franlinares17 a tope,no acoso
Y,ohcnehc  el chenchiiiiii,no acoso
Y,Haría la cape con @rociofloresss pero seguro que se asusta con los insectos 🦟 🐜 africanos 😂😂😂,no acoso
Y,santiaguett pues si pero a este paso........jajaja,no acoso
Y,Haría la capeepic con jesushoyal,no acoso
Y, caso será un dueto más de los angeles azules ,no acoso
Y,Chale no había escuchado a esta belleza cantar este tipo de rolas,no acoso
Y,joseangelgomez94 si nos toca.. la preparamos jajajajaja💪💪💪,no acoso
Y,pauzamoraperez yo contigo o con @jllordella. Si pudiese con los dos.,no acoso
Y,pedrodm96 peroo yo casi que la hago con una eléctrica jajajajja,no acoso
Y,Eternamente enamorado ,no acoso
Y,Con @charly_gr10 si le dejan ir con electrica😉,no acoso
Y,Yo me dedicaba esta canción a mí misma ,no acoso
Y,Todas hechandole ojo al bailarín,no acoso
"Y,""Cada vez que me quieren hacer sentir mal, me pongo a ver Tereza"",no acoso"
Y,Ostia yo con @jllordella o con @leaopinto o con @antonioortizbike,no acoso
Y,juanitopalomino grandee que pedazo de rutas haríamos con esa equipacion👌,no acoso
Y,A la mente me vino Teresa rápidamente 😂😂🇨🇺🇨🇺🇨🇺,no acoso
Y,¡Qué bonita canción! :),no acoso
Y,Volveré en 10 años para editar este comentario y contarles que me case con ella🤗,no acoso
Y,Esta canción dura 4 minutos pero duele toda la vida😔,no acoso
Y,Quédate un poquito más,no acoso
"Y,""Estoy segura que le dieron reedición a esta canción,"",no acoso"
Y,Nada más no lloro por que ando en el ciber :'v,no acoso
Y,Esta cancion le hace llorar a alguien mas :'3,no acoso
Y,Está canción nunca pasará de moda .,no acoso
Y,Es curioso porque la canción dura 4:16 pero duele toda la vida...,no acoso
Y,Quien mas esta en modo sad al escuchar este tema 😔,no acoso
Y,Hola! Por aquí en algún lugar escuchando esta hermosa canción ❤️,no acoso
Y,La Ángela bien tierna se miraba 🥺❤️✨,no acoso
Y,😔tenía la sertesa que tú sitio era ami lado😭,no acoso
Y,😢 tantas promesas que nos hicimos y no pudimos cumplir 😢,no acoso
Y,Que voz el de la señora 👌❤️,no acoso
Y,Quien mas escuchá está música en 2021❤️😍,no acoso
Y,Mi esposo va a cumplir un año que falleció me amo hasta el final.,no acoso
Y,Es difícil aceptar cuando las promesas se olvidan ...,no acoso
Y,¿¿Quien en Enero del 2021 escuchando este hit?🖤🎥,no acoso
Y,No hay nada más corto que un “para siempre”.,no acoso
Y,Esta versión de su canción está¡¡¡ hermosisíma!!!,no acoso
Y,Se les viene alguien a la mente con esta canción?:(,no acoso
Y,Que bonitos recuerdos te go con esta cancion):🥺G,no acoso
Y,Melhor cantor de bachata❤️,no acoso
Y,Yo escuchando desde Costa Rica que difícil 😭🎈,no acoso
"Y,""Música de mi juventud, igual que de muchos!"",no acoso"
Y,¡ si me enseñaste a querer también enséñame a olvidar esto que siento !😍,no acoso
Y,Quien La Va seguir escuchando en el 2019?✋🍭,no acoso
Y,NO HABÍA ESCUCHADO EDTA VERCION....ESTA ESPECTACULAR...!!! QUE BELLA....!!!!,no acoso
"Y,""Descansa en paz Edith, nunca te olvidaremos 💔"",no acoso"
Y,Solo vine a ver a edith aun me resisto a creer que ya se fue 😔,no acoso
Y,Vine a recordar a mi hermosa y presiosa Joselyn q se robó la mirada d la mayoría d los telenoveleros,no acoso
Y,edith gonzalez tremenda actriz,no acoso
Y,veo la novela por edith gonzalez que es muy buena actriz no sobreactua,no acoso
Y,México apesar de todo fue el único equipo que llevo a República Dominicana a 5 SETS en este torneo,no acoso
"Y,""Que triste 😢 por México , bien Dominicana, México puede mejorar, viva México"",no acoso"
Y,Los dos equipos jugaron muy bien! Mis respetos para cada uno.,no acoso
Y,Loco por ver los juegos olímpicos. Lástima que se tengan que suspender,no acoso
Y,México Con Bricio y Rangel en buenas Ligas extranjeras,no acoso
Y,El equipo mexicano es un equipo muy joven ..mis respetos,no acoso
Y,Bricio e Rangel ótimas jogadoras.,no acoso
"Y,""gina mambrú mi jugadora favorita de Volleyball, por mucho"",no acoso"
Y,Waw mexico sin nada de poyo lograron mucho,no acoso
"Y,""Necesitan mas en los saques """"México""""..de ahi excelente"",no acoso"
Y,Soy Dominicano y apoyo a mi equipo. Pero el equipo Mexicano es muy bueno. Desde el principio dije que era bueno.,no acoso
"Y,""Lisbet Eve Mejia un mujeron y tremenda jugadora , la amo"",no acoso"
Y,Puro taco de ojo en este partido!!,no acoso
Y,empece a ver el voly gracias a samnta cuando estaba en la USC,no acoso
Y,Gracias chicos x la iforma de Samy Bricio y Rangel saludos de Mèxico👍👍👍👏👏👏,no acoso
"Y,""Buen programa chicos, sigan compartiendo su trabajo, me la paso muy bien trabajando y de reojo viendo su video."",no acoso"
Y,me gustaria ver a samanta Bricio en el voly de brasil,no acoso
"F,""Comuniquen a los docentes, no saben nada al respecto"",no acoso"
"F,""No mms su carita de nodal bien enculado, es muy genial"",no acoso"
F,Neta yo sonriéndole a la pantalla lo que dura la canción 🥴👌🏻,no acoso
F,Quien aquí después de enterarse que se van a casar💍,no acoso
F,Se le antoja a la gente estar enamorada con verlos tratando de disimular lo que sentían 😍,no acoso
"F,""Christian, ya sabemos que canción no podrás cantarla igual después.😓"",no acoso"
"F,""No importa lo fresa que seas, """"traje de ranchero que te cante bonito al oído"""" mata todo lo demás 😝"",no acoso"
F,A quien mas se la paso riendo y suspirando Durante El video.,no acoso
F,Con Belinda de pareja todos tendrían la sonrisa de Nodal,no acoso
F,Es muy tierno ver dos personas que se miran tan enamorados!. Se les nota muchísimo. 🤗😍😘🇦🇷,no acoso
F,Por qué estoy sonriendo como estúpida al celular? 😂❤️ (Ok ya sé jajaja),no acoso
F,La risa de nodal es lo q más me enamora 😍esa carita,no acoso
F,Ochos meses después y ellos siguen más enamorados.,no acoso
F,Son tan perfectos me dieron ganas de tener novio jajajajaja,no acoso
F,Este 2021 les deseo que alguien los mire como nodal mira a belinda,no acoso
F,Dios me los bendiga y los proteja siempre. Los llene cada día de AMOR Y PROSPERIDAD,no acoso
F,La niña nice ya creció y es increíble verla con alguien del Regional Méxicano 😅😊.,no acoso
"F,""Que bonita parejo hacen , verdad"",no acoso"
"F,""El se ve tan enamorado. Como que no lo puede creer, de estar con beli."",no acoso"
F,2 minutos con 46 segundos son insuficientes para esta hermosa canción. :'),no acoso
"F,""Ese escenario estaba lleno de ternura, no mames, que hermoso!"",no acoso"
F,Quisiera que me mirarán como Christian ve a Belinda!🤣♥️,no acoso
